"id","company_name","crunchbase_description","pitchbook_description","categories","top_node_id"
"","Shazam",NULL,"Developer of a music recognition application created to help people to recognize and engage with the world around them. The company's music streaming application identify music, movies, advertising and television shows based on a short sample played using the microphone on the device to discover, explore and share the music and TV, enabling users to listen to music that's playing around them and identify the song title, artist and album.","Digital Media: Music: Music Tech",10
"","YouTube","YouTube, a video-sharing platform, allows users to upload, view, and share videos, including movie and music clips and amateur content.","Provider of a video-sharing website. The company provides website to upload and share user-generated video content.","Digital Media: Video: Online Video",10
"","WeVideo","WeVideo is a powerful, yet easy-to-use, cloud-based collaborative video creation platform.","Provider of a cloud based video editing platform. The company serves sports enthusiasts, entertainers, groups and communities, families, gamers, educators, students, marketers, online journalists and pro-video graphers.","Digital Media: Video: Video Production",10
"","Demo Duck ","Demo Duck creates videos for any mission.",NULL,"Digital Media: Video: Video Production, Enterprise Tech: Marketing: Advertising",10
NULL,"!K7","A music video production company based in Berlin.",NULL,NULL,10
NULL,"17 Production","17 Production is an video production company that provides high quality production services throughout New York City, Italy and worldwide.",NULL,NULL,10
NULL,"2gether Studios","If you are in search of a prominent corporate video production company.",NULL,NULL,10
NULL,"3BlackDot","3BlackDot offers game development and video production services.","Provider of digital content production services intended to harnesses the power of influencer communities around the world. The company's services include influencer-driven collective, studio production and marketing that delivers audience engagement, brand value, and entertainment properties, enabling consumers to cut through the clutter of overwhelming digital media choice.",NULL,10
NULL,"4K Garden","4K Garden is a Chinese 4K ultra high definition video production and distribution platform."," ",NULL,10
NULL,"4WT Media","Digital Marketing & Video Production",NULL,NULL,10
NULL,"75seconds","75seconds is an animated explainer video production company. We provide our services all around the world.",NULL,NULL,10
NULL,"8020 Films","8020 Films is a professional audio, video production, marketing and editing company and developers of apps.",NULL,NULL,10
NULL,"9 Design","digital marketing,web design,video production,SEO, internet marketing service",NULL,NULL,10
NULL,"90 Seconds","90 Seconds is a cloud-based video production platform that enables its users to purchase, plan, edit, and review shoots.","Developer of a cloud-based video production platform designed to help users handle the video production process in one place. The company's platform strips back the complexity of video production, giving brands and agencies access to a marketplace of creatives, enabling clients to connect with a network of videographers, directors, editors, producers, animators, drone operators, photographers and many more.",NULL,10
NULL,"Aardvark Video & Media Productions","An award winning, full service Las Vegas video production company.",NULL,NULL,10
NULL,"Absolutely AV Video Productions Johannesburg","Video Production Service",NULL,NULL,10
NULL,"Accelerated Video Production","Video Production for Marketing Teams, Corporations, and Businesses",NULL,NULL,10
NULL,"Actin Web Video","Web Video Production Company",NULL,NULL,10
NULL,"ACTION MOTION PICTURES","ACTION MOTION PICTURES is an independent film & video production company",NULL,NULL,10
NULL,"Adoir","Development management of information sharing service 'Vook note' for video production.",NULL,NULL,10
NULL,"Advent Films","Advent Films is a commercial video production company that produces both web and broadcast media for different brands.",NULL,NULL,10
NULL,"Adventures Media","Startup agency: Startup Marketing, Social Media, Video Production.",NULL,NULL,10
NULL,"Aframe","Aframe Media is a SaaS-based company that provides cloud video production storage and workflow.",NULL,NULL,10
